"","cluster","group"
"1",10,3
"2",10,3
"3",15,4
"4",5,2
"5",5,2
"6",18,5
"7",18,5
"8",18,5
"9",10,3
"10",18,5
"11",9,2
"12",18,5
"13",8,2
"14",15,4
"15",10,3
"16",1,1
"17",15,4
"18",10,3
"19",4,1
"20",18,5
"21",18,5
"22",10,3
"23",1,1
"24",10,3
"25",4,1
"26",10,3
"27",15,4
"28",1,1
"29",15,4
"30",7,2
"31",18,5
"32",10,3
"33",2,1
"34",18,5
"35",11,3
"36",18,5
"37",1,1
"38",18,5
"39",2,1
"40",18,5
"41",18,5
"42",1,1
"43",10,3
"44",7,2
"45",18,5
"46",18,5
"47",10,3
"48",10,3
"49",18,5
"50",10,3
"51",18,5
"52",18,5
"53",5,2
"54",16,4
"55",12,3
"56",5,2
"57",15,4
"58",7,2
"59",7,2
"60",10,3
"61",11,3
"62",6,2
"63",7,2
"64",10,3
"65",1,1
"66",18,5
"67",18,5
"68",16,4
"69",18,5
"70",17,4
"71",10,3
"72",1,1
"73",10,3
"74",17,4
"75",7,2
"76",8,2
"77",6,2
"78",18,5
"79",7,2
"80",16,4
"81",10,3
"82",15,4
"83",1,1
"84",10,3
"85",15,4
"86",7,2
"87",5,2
"88",1,1
"89",1,1
"90",15,4
"91",15,4
"92",2,1
"93",5,2
"94",6,2
"95",4,1
"96",10,3
"97",15,4
"98",6,2
"99",18,5
"100",18,5
"101",5,2
"102",18,5
"103",7,2
"104",10,3
"105",10,3
"106",15,4
"107",8,2
"108",15,4
"109",1,1
"110",18,5
"111",15,4
"112",10,3
"113",10,3
"114",2,1
"115",1,1
"116",1,1
"117",15,4
"118",14,3
"119",10,3
"120",18,5
"121",14,3
"122",13,3
"123",6,2
"124",5,2
"125",15,4
"126",10,3
"127",1,1
"128",10,3
"129",1,1
"130",18,5
"131",1,1
"132",10,3
"133",10,3
"134",15,4
"135",1,1
"136",6,2
"137",8,2
"138",10,3
"139",5,2
"140",18,5
"141",1,1
"142",3,1
"143",15,4
"144",5,2
"145",13,3
"146",18,5
"147",16,4
"148",1,1
"149",10,3
"150",10,3
"151",1,1
"152",6,2
"153",10,3
"154",1,1
"155",10,3
"156",13,3
"157",1,1
"158",15,4
"159",15,4
"160",8,2
"161",10,3
"162",15,4
"163",1,1
"164",14,3
"165",10,3
"166",18,5
"167",10,3
"168",2,1
"169",10,3
"170",1,1
"171",7,2
"172",15,4
"173",2,1
"174",10,3
"175",10,3
"176",1,1
"177",1,1
"178",13,3
"179",5,2
"180",10,3
"181",10,3
"182",1,1
"183",2,1
"184",6,2
"185",18,5
"186",10,3
"187",1,1
"188",10,3
"189",3,1
"190",15,4
"191",13,3
"192",10,3
"193",15,4
"194",1,1
"195",2,1
"196",5,2
"197",18,5
"198",18,5
"199",18,5
"200",18,5
"201",18,5
"202",10,3
"203",6,2
"204",7,2
"205",18,5
"206",10,3
"207",11,3
"208",1,1
"209",18,5
"210",18,5
"211",10,3
"212",10,3
"213",10,3
"214",18,5
"215",5,2
"216",18,5
"217",7,2
"218",4,1
"219",1,1
"220",5,2
"221",16,4
"222",18,5
"223",10,3
"224",1,1
"225",12,3
"226",4,1
"227",10,3
"228",10,3
"229",10,3
"230",18,5
"231",10,3
"232",10,3
"233",6,2
"234",10,3
"235",18,5
"236",14,3
"237",7,2
"238",18,5
"239",15,4
"240",12,3
"241",10,3
"242",10,3
"243",5,2
"244",1,1
"245",5,2
"246",18,5
"247",18,5
"248",18,5
"249",9,2
"250",7,2
"251",16,4
"252",18,5
"253",18,5
"254",1,1
"255",1,1
"256",6,2
"257",10,3
"258",1,1
"259",18,5
"260",1,1
"261",2,1
"262",18,5
"263",10,3
"264",10,3
"265",2,1
"266",10,3
"267",18,5
"268",3,1
"269",2,1
"270",17,4
"271",10,3
"272",6,2
"273",4,1
"274",5,2
"275",15,4
"276",15,4
"277",10,3
"278",10,3
"279",18,5
"280",10,3
"281",1,1
"282",7,2
"283",6,2
"284",7,2
"285",5,2
"286",18,5
"287",5,2
"288",1,1
"289",7,2
"290",18,5
"291",5,2
"292",10,3
"293",10,3
"294",2,1
"295",10,3
"296",13,3
"297",10,3
"298",15,4
"299",15,4
"300",1,1
"301",10,3
"302",13,3
"303",16,4
"304",4,1
"305",11,3
"306",2,1
"307",18,5
"308",10,3
"309",10,3
"310",10,3
"311",1,1
"312",1,1
"313",10,3
"314",16,4
"315",18,5
"316",5,2
"317",10,3
"318",18,5
"319",15,4
"320",10,3
"321",14,3
"322",10,3
"323",10,3
"324",18,5
"325",12,3
"326",18,5
"327",1,1
"328",9,2
"329",18,5
"330",1,1
"331",18,5
"332",16,4
"333",18,5
"334",15,4
"335",10,3
"336",1,1
"337",18,5
"338",15,4
"339",10,3
"340",18,5
"341",10,3
"342",3,1
"343",18,5
"344",6,2
"345",5,2
"346",2,1
"347",17,4
"348",10,3
"349",18,5
"350",10,3
"351",10,3
"352",10,3
"353",2,1
"354",8,2
"355",1,1
"356",10,3
"357",1,1
"358",10,3
"359",15,4
"360",18,5
"361",6,2
"362",6,2
"363",18,5
"364",10,3
"365",1,1
"366",4,1
"367",1,1
"368",18,5
"369",18,5
"370",18,5
"371",18,5
"372",15,4
"373",15,4
"374",1,1
"375",10,3
"376",18,5
"377",13,3
"378",17,4
"379",1,1
"380",10,3
"381",15,4
"382",6,2
"383",4,1
"384",16,4
"385",9,2
"386",1,1
"387",6,2
"388",17,4
"389",10,3
"390",4,1
"391",10,3
"392",10,3
"393",16,4
"394",10,3
"395",10,3
"396",15,4
"397",15,4
"398",15,4
"399",18,5
"400",1,1
"401",10,3
"402",16,4
"403",10,3
"404",10,3
"405",10,3
"406",18,5
"407",10,3
"408",18,5
"409",15,4
"410",1,1
"411",1,1
"412",4,1
"413",4,1
"414",7,2
"415",5,2
"416",18,5
"417",12,3
"418",1,1
"419",18,5
"420",4,1
"421",1,1
"422",16,4
"423",15,4
"424",10,3
"425",1,1
"426",15,4
"427",13,3
"428",6,2
"429",1,1
"430",13,3
"431",1,1
"432",15,4
"433",13,3
"434",18,5
"435",10,3
"436",1,1
"437",11,3
"438",16,4
"439",5,2
"440",16,4
"441",18,5
"442",10,3
"443",1,1
"444",18,5
"445",18,5
"446",13,3
"447",2,1
"448",10,3
"449",10,3
"450",1,1
"451",9,2
"452",1,1
"453",7,2
"454",10,3
"455",10,3
"456",1,1
"457",7,2
"458",2,1
"459",1,1
"460",9,2
"461",10,3
"462",1,1
"463",7,2
"464",18,5
"465",1,1
"466",1,1
"467",10,3
"468",2,1
"469",10,3
"470",9,2
"471",10,3
"472",18,5
"473",5,2
"474",6,2
"475",10,3
"476",18,5
"477",1,1
"478",18,5
"479",10,3
"480",18,5
"481",10,3
"482",10,3
"483",12,3
"484",15,4
"485",8,2
"486",3,1
"487",10,3
"488",15,4
"489",15,4
"490",5,2
"491",1,1
"492",14,3
"493",14,3
"494",15,4
"495",16,4
"496",6,2
"497",15,4
"498",15,4
"499",1,1
"500",15,4
"501",1,1
"502",15,4
"503",15,4
"504",1,1
"505",10,3
"506",5,2
"507",6,2
"508",18,5
"509",10,3
"510",13,3
"511",10,3
"512",10,3
"513",15,4
"514",1,1
"515",5,2
"516",15,4
"517",1,1
"518",6,2
"519",1,1
"520",1,1
"521",4,1
"522",5,2
"523",1,1
"524",1,1
"525",1,1
"526",11,3
"527",18,5
"528",5,2
"529",2,1
"530",18,5
"531",8,2
"532",6,2
"533",1,1
"534",5,2
"535",18,5
"536",18,5
"537",10,3
"538",5,2
"539",18,5
"540",10,3
"541",6,2
"542",1,1
"543",1,1
"544",18,5
"545",6,2
"546",5,2
"547",8,2
"548",11,3
"549",10,3
"550",15,4
"551",5,2
"552",18,5
"553",6,2
"554",15,4
"555",5,2
"556",18,5
"557",1,1
"558",10,3
"559",10,3
"560",1,1
"561",6,2
"562",16,4
"563",10,3
"564",1,1
"565",18,5
"566",17,4
"567",18,5
"568",1,1
"569",2,1
"570",5,2
"571",1,1
"572",1,1
"573",13,3
"574",1,1
"575",12,3
"576",18,5
"577",1,1
"578",10,3
"579",10,3
"580",10,3
"581",2,1
"582",10,3
"583",5,2
"584",1,1
"585",10,3
"586",10,3
"587",10,3
"588",1,1
"589",10,3
"590",1,1
"591",4,1
"592",3,1
"593",10,3
"594",1,1
"595",10,3
"596",10,3
"597",10,3
"598",4,1
"599",10,3
"600",15,4
"601",4,1
"602",10,3
"603",2,1
"604",10,3
"605",10,3
"606",18,5
"607",15,4
"608",1,1
"609",9,2
"610",15,4
"611",12,3
"612",10,3
"613",10,3
"614",18,5
"615",15,4
"616",18,5
"617",10,3
"618",18,5
"619",1,1
"620",2,1
"621",1,1
"622",16,4
"623",1,1
"624",15,4
"625",10,3
"626",12,3
"627",10,3
"628",18,5
"629",1,1
"630",10,3
"631",2,1
"632",10,3
"633",10,3
"634",4,1
"635",18,5
"636",1,1
"637",18,5
"638",10,3
"639",10,3
"640",1,1
"641",9,2
"642",2,1
"643",15,4
"644",18,5
"645",18,5
"646",9,2
"647",10,3
"648",12,3
"649",18,5
"650",8,2
"651",4,1
"652",4,1
"653",10,3
"654",18,5
"655",1,1
"656",10,3
